ID	adj.P.Val	P.Value	t	B	logFC	Gene.symbol	Gene.title
243282_at	3.25e-01	2.32e-01	1.211827	-6.045877	0.2751758	CCDC93	coiled-coil domain containing 93
210241_s_at	3.25e-01	2.32e-01	-1.211797	-6.045913	-0.4164405	TP53TG1	TP53 target 1 (non-protein coding)
229638_at	3.25e-01	2.32e-01	-1.211717	-6.046009	-0.3249166	IRX3	iroquois homeobox 3
212227_x_at	3.25e-01	2.32e-01	1.211673	-6.04606	0.2161074	EIF1	eukaryotic translation initiation factor 1
238103_at	3.25e-01	2.32e-01	1.211618	-6.046125	0.5853352	LINC01207	long intergenic non-protein coding RNA 1207
235643_at	3.25e-01	2.32e-01	1.211595	-6.046152	0.5103455	SAMD9L	sterile alpha motif domain containing 9 like
235939_at	3.25e-01	2.32e-01	1.211437	-6.046339	0.2851738	ZFP69B	ZFP69 zinc finger protein B
236328_at	3.25e-01	2.32e-01	-1.211427	-6.046352	-0.388422	ZNF806///ZNF285	zinc finger protein 806///zinc finger protein 285
212163_at	3.25e-01	2.32e-01	1.211326	-6.046471	0.2423885	KIDINS220	kinase D-interacting substrate 220kDa
220764_at	3.25e-01	2.32e-01	1.211221	-6.046595	0.1882982	PPP4R2	protein phosphatase 4 regulatory subunit 2
1554496_at	3.25e-01	2.32e-01	-1.210973	-6.046889	-0.466672	RAD51B	RAD51 paralog B
235294_at	3.25e-01	2.32e-01	-1.210741	-6.047164	-0.2755368	SIKE1	suppressor of IKBKE 1
205029_s_at	3.25e-01	2.32e-01	1.210717	-6.047192	1.1962057	FABP7	fatty acid binding protein 7
231861_at	3.26e-01	2.32e-01	1.210167	-6.047843	0.2881412	LRP10	LDL receptor related protein 10
208373_s_at	3.26e-01	2.32e-01	1.210033	-6.048001	0.1436837	P2RY6	pyrimidinergic receptor P2Y6
229644_at	3.26e-01	2.32e-01	1.209702	-6.048393	0.3865903	PREP	prolyl endopeptidase
239624_at	3.26e-01	2.32e-01	-1.209665	-6.048437	-0.2714707	LOC102724689	uncharacterized LOC102724689
241775_at	3.26e-01	2.32e-01	1.209381	-6.048773	0.230941		
226395_at	3.26e-01	2.32e-01	1.209363	-6.048794	0.3192654	HOOK3	hook microtubule tethering protein 3
1554356_at	3.26e-01	2.32e-01	1.209255	-6.048921	0.2865707	GINS4	GINS complex subunit 4
213360_s_at	3.26e-01	2.33e-01	1.208887	-6.049356	0.1835173	POM121C///POM121	POM121 transmembrane nucleoporin C///POM121 transmembrane nucleoporin
226385_s_at	3.26e-01	2.33e-01	1.208841	-6.04941	0.1990824	MALSU1	mitochondrial assembly of ribosomal large subunit 1
229473_at	3.26e-01	2.33e-01	-1.208682	-6.049599	-0.2941518	MAMDC4	MAM domain containing 4
201470_at	3.26e-01	2.33e-01	1.208539	-6.049767	0.1632395	GSTO1	glutathione S-transferase omega 1
241787_at	3.26e-01	2.33e-01	1.208518	-6.049792	0.1057486	FOXCUT	FOXC1 upstream transcript (non-protein coding)
225494_at	3.26e-01	2.33e-01	-1.208398	-6.049934	-0.2226662	DYNLL2	dynein light chain LC8-type 2
233423_at	3.27e-01	2.33e-01	1.207834	-6.0506	0.2702406	TLDC1	TBC/LysM-associated domain containing 1
1564521_x_at	3.27e-01	2.33e-01	-1.207634	-6.050836	-0.2176051	PRMT5	protein arginine methyltransferase 5
235875_at	3.27e-01	2.33e-01	1.207319	-6.051208	0.5068117		
227746_at	3.27e-01	2.33e-01	-1.207117	-6.051446	-0.3535727	ELAVL1	ELAV like RNA binding protein 1
204199_at	3.27e-01	2.33e-01	1.206984	-6.051604	0.5261008	RALGPS1	Ral GEF with PH domain and SH3 binding motif 1
205979_at	3.27e-01	2.33e-01	-1.206975	-6.051614	-0.9738187	SCGB2A1	secretoglobin family 2A member 1
222409_at	3.27e-01	2.33e-01	1.206938	-6.051658	0.2381958	CORO1C	coronin 1C
